Entity	Expected_entities	Obtained_entities	Ratio
https://vocab.um.es#BaggageHandling	2	2	100
https://vocab.um.es#Cleanliness	2	2	100
https://vocab.um.es#Customer	7888	7868	99.7464503042596
https://vocab.um.es#CustomerFeedback	7970	7967	99.9623588456713
https://vocab.um.es#Departure	3	3	100
https://vocab.um.es#Entertainment	2	2	100
https://vocab.um.es#Flight	8142	8129	99.840334070253
https://vocab.um.es#FoodAndDrink	2	2	100
https://vocab.um.es#GateLocation	3	3	100
https://vocab.um.es#LegRoomService	4	4	100
https://vocab.um.es#OnBoardService	2	2	100
https://vocab.um.es#OnlineBoarding	2	2	100
https://vocab.um.es#OnlineBooking	1	1	100
https://vocab.um.es#OnlineSupport	2	2	100
https://vocab.um.es#SeatComfort	2	2	100
https://vocab.um.es#Wifi	4	4	100
