CustomerSatisfationID,satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,satisfied,Female,Loyal Customer,65,Personal Travel,Eco,265,0,0,0,2,2,4,2,3,3,0,3,5,3,2,0,0
2,satisfied,Male,Loyal Customer,47,Personal Travel,Business,2464,0,0,0,3,0,2,2,3,4,4,4,2,3,2,310,305
3,satisfied,Female,Loyal Customer,15,Personal Travel,Eco,2138,0,0,0,3,2,0,2,2,3,3,4,4,4,2,0,0
4,satisfied,Female,Loyal Customer,60,Personal Travel,Eco,623,0,0,0,3,3,4,3,1,1,0,1,4,1,3,0,0
5,satisfied,Female,Loyal Customer,70,Personal Travel,Eco,354,0,0,0,3,4,3,4,2,2,0,2,4,2,5,0,0
6,satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1894,0,0,0,3,2,0,2,2,5,4,5,5,4,2,0,0
7,satisfied,Female,Loyal Customer,66,Personal Travel,Eco,227,0,0,0,3,2,5,5,5,5,0,5,5,5,3,17,15
8,satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1812,0,0,0,3,2,0,2,2,3,3,4,5,4,2,0,0
9,satisfied,Female,Loyal Customer,56,Personal Travel,Business,73,0,0,0,3,5,3,5,4,4,0,1,5,4,4,0,0
10,satisfied,Male,Loyal Customer,22,Personal Travel,Eco,1556,0,0,0,3,2,0,2,2,2,4,5,3,4,2,30,26
11,satisfied,Female,Loyal Customer,58,Personal Travel,Eco,104,0,0,0,3,3,3,3,3,3,0,1,2,3,5,47,48
12,satisfied,Female,Loyal Customer,34,Personal Travel,Eco,3633,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0
13,satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1695,0,0,0,4,5,0,5,5,1,3,2,2,4,5,0,0
14,satisfied,Male,Loyal Customer,35,Personal Travel,Eco,1766,0,1,0,1,4,0,4,4,3,5,2,3,2,4,0,0
15,satisfied,Female,Loyal Customer,47,Personal Travel,Eco,84,0,1,0,1,5,2,1,5,5,0,5,2,5,2,40,48
16,satisfied,Male,Loyal Customer,60,Personal Travel,Eco,1373,0,1,0,1,1,0,1,1,3,4,1,4,2,1,0,0
17,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,3693,0,1,0,2,4,0,4,4,4,4,1,3,1,4,5,0
18,satisfied,Female,Loyal Customer,52,Personal Travel,Business,2610,0,1,0,2,1,2,2,1,1,0,1,2,1,3,0,0
19,satisfied,Female,Loyal Customer,55,Personal Travel,Eco,2554,0,1,0,2,0,1,1,2,1,1,2,1,3,1,0,0
20,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,3095,0,1,0,2,3,0,3,3,2,5,2,3,2,3,0,0
21,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,3305,0,1,0,2,3,0,5,3,1,1,1,3,3,3,0,0
22,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,2090,0,1,0,2,1,0,1,1,3,5,1,4,2,1,0,0
23,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2122,0,1,0,2,2,0,4,2,4,1,3,1,3,2,0,0
24,satisfied,Male,Loyal Customer,53,Personal Travel,Business,1099,0,1,0,2,1,3,3,1,1,0,1,3,1,1,0,0
