SalesOrderId,UserId,ProductId,Rating,Timestamp
1,A39HTATAQ9V7YF,0205616461,5,1369699200
2,A3JM6GV9MNOF9X,0558925278,3,1355443200
3,A1Z513UWSAAO0F,0558925278,5,1404691200
4,A1WMRR494NWEWV,0733001998,4,1382572800
5,A3IAAVS479H7M7,0737104473,1,1274227200
6,AKJHHD5VEH7VG,0762451459,5,1404518400
7,A1BG8QW55XHN6U,1304139212,5,1371945600
8,A22VW0P4VZHDE3,1304139220,5,1373068800
9,A3V3RE4132GKRO,130414089X,5,1401840000
10,A327B0I7CYTEJC,130414643X,4,1389052800
11,A1BG8QW55XHN6U,130414643X,5,1372032000
12,AIFAAVTUYHEHB,130414643X,4,1378252800
13,AVOGV98AYOFG2,1304146537,5,1372118400
14,A22VW0P4VZHDE3,130414674X,5,1371686400
15,AVOGV98AYOFG2,1304168522,5,1372118400
16,A6R426V4J7AOM,1304168522,5,1373414400
17,A22VW0P4VZHDE3,1304174778,5,1372896000
18,AKGB62WGF35J8,1304174778,5,1372896000
19,A22VW0P4VZHDE3,1304174867,5,1373068800
20,A1BG8QW55XHN6U,1304174867,5,1372291200
21,A1BG8QW55XHN6U,1304174905,5,1372291200
22,A22VW0P4VZHDE3,1304196046,5,1372896000
23,A22VW0P4VZHDE3,1304196062,5,1372896000
24,A3A4C2K3TWDAO5,1304196070,1,1378425600
25,A3FV2Q7WPZMQPV,1304196135,5,1375488000
26,A22VW0P4VZHDE3,1304196135,5,1372896000
27,A1RXI3A1E99112,1304351475,5,1405296000
28,A26QL1FBQO9C0E,1304351475,5,1392076800
29,A19KEEVZYO1KO6,1304351475,4,1388707200
30,A1F6HRR58TQ2R0,1304351475,5,1394928000
31,AVQP6PO1NK0IJ,1304351475,1,1389657600
32,A32IWHU4TUEQZR,1304351475,4,1383523200
33,ASPJCWRXUOYYY,1304351475,5,1392681600
34,A1LAW520BT5AM0,1304351475,1,1392422400
35,A3SWQ2QQ7JBPFA,1304351475,5,1402790400
36,A2D7CPCZH5VFVZ,1304351475,1,1396742400
37,A274NIJWOQWE30,1304351475,5,1385251200
38,A2OMU0R0VM5O9I,1304351475,1,1397606400
39,A2YFDS6DYGFLVQ,1304351475,5,1405036800
40,AKA7T9TPISJ26,1304351475,1,1399680000
41,AN33X95J5460X,1304351475,4,1395187200
42,A2UEOW698J0SSR,1304351475,5,1397779200
43,A22ZFXQE8AWPEP,1304482596,1,1383177600
44,A6R426V4J7AOM,1304482596,5,1384992000
45,A9ZNJ2AXPO652,1304482634,2,1386028800
46,A169NC0ZW6XKRD,1304482685,3,1391558400
47,AZWRTJPN7NXT,1304482685,5,1383004800
48,A22ZFXQE8AWPEP,1304482685,1,1383177600
49,AH344ZAN5GNOM,1304482685,5,1391558400
50,A1YQUT1H2ENJ8U,1304482685,4,1383004800
51,A22VW0P4VZHDE3,1304482685,5,1384128000
52,A6R426V4J7AOM,1304488608,5,1384732800
53,A22ZFXQE8AWPEP,1304495396,1,1384992000
54,A6R426V4J7AOM,1304495396,5,1384992000
55,A3C744AK5A6MMI,1304495396,5,1385856000
56,A2H6SFTV2892Z8,1304511073,5,1384992000
57,A225CH9TTQPC4B,1304511073,1,1393891200
58,A2F6NPTGDMFXN9,1304511073,1,1385596800
59,A2H6SFTV2892Z8,1304511081,5,1384992000
60,A1DC0DSF3H3BCW,1304511081,3,1391817600
61,A3TR91FJ4MNFY9,1304511081,5,1391558400
62,A22ZFXQE8AWPEP,1304511111,1,1384992000
63,A3IANSH41YHFP1,1304511111,5,1389830400
64,A2NRG4NQMLHDJQ,1304511111,1,1385769600
65,A6R426V4J7AOM,130451112X,5,1383868800
66,A2H6SFTV2892Z8,1304511138,5,1384992000
67,A22ZFXQE8AWPEP,1304511138,1,1384992000
68,A32G79IU2NJ2HS,1304511138,1,1388188800
69,A2H6SFTV2892Z8,1304511146,5,1384992000
70,A3L2VTHD6W1E2Z,1304511146,2,1386201600
71,A3L2VTHD6W1E2Z,1304511154,1,1386201600
72,A1BG8QW55XHN6U,1304511154,5,1384732800
73,A2H6SFTV2892Z8,1304622193,5,1384992000
74,A22VW0P4VZHDE3,1304622193,5,1385856000
75,A2H6SFTV2892Z8,1304622223,5,1384992000
76,A6R426V4J7AOM,1304622428,5,1384992000
77,A15THVWZS6GQZY,1304622428,5,1388102400
78,A1BG8QW55XHN6U,1304622452,5,1385424000
79,A2H6SFTV2892Z8,1304622460,5,1384992000
80,A1VCW66KPTNUV8,1304622622,1,1385424000
81,AO5JB67V93FBL,1304622622,5,1388620800
82,A1GWD6BDCLGC82,1304622622,1,1388016000
83,AJ85OD05LNNUY,1304622657,2,1404172800
84,A1E5CS6UI1LWQF,1304622657,5,1390608000
85,A1SWCNGOR3GMOQ,1304622657,5,1393286400
86,A1BG8QW55XHN6U,1304622657,5,1385596800
87,A22ZFXQE8AWPEP,1304622665,1,1386028800
88,A22ZFXQE8AWPEP,1304624498,1,1385683200
89,A2IOZRH02O4C9S,1304624498,1,1392076800
90,A2H6SFTV2892Z8,1304624544,5,1384992000
91,A1RGXKJ4RFIOCX,1304624544,1,1394755200
92,A11OEJ4R1PDTLN,1304624544,1,1391385600
93,A22ZFXQE8AWPEP,1304651029,1,1386028800
94,A1BG8QW55XHN6U,1304651029,5,1385424000
95,A1BG8QW55XHN6U,1304651088,5,1385424000
96,A1BG8QW55XHN6U,130465110X,5,1385424000
97,A1BG8QW55XHN6U,1304651118,5,1385424000
98,A6R426V4J7AOM,1304651347,5,1385856000
99,A1BG8QW55XHN6U,1304665704,5,1385596800
100,AZ4FR14IPKML7,1304665720,5,1388966400
101,A251DS38L87XWF,1304665720,1,1391299200
102,A1BG8QW55XHN6U,1304665720,5,1385596800
103,A22ZFXQE8AWPEP,130466578X,1,1386028800
104,A1Z03R982SX8V2,1403790965,4,1389916800
105,A1ZY0K46FYOTB6,1403790965,5,1357603200
106,A3MAATZ091QZGE,1403790965,5,1372550400
107,A35XCJ5P6ZKRE9,1403790965,5,1340755200
108,A2B3YKKXVN28TW,1403790965,5,1385856000
109,A2RDR51FRB58LD,1403790965,5,1328918400
110,A2MSCG0YX85RL4,1403790965,5,1375833600
111,A2P8AUMTM6O605,1403790965,5,1403913600
112,A3SN6TKIXQI7RP,1403790965,5,1375488000
113,A1MLJHYS35C4X6,1403790965,5,1373414400
114,A2FTLN4PYZE7S6,1403790965,5,1403827200
115,ATPHIBSTV1NY5,1412759676,5,1356739200
116,A1QWS6V26JZ5OX,1412759676,5,1371340800
117,A1VK4ALI1QOF5U,1412759676,4,1356912000
118,A1GIXQUBPA0DPT,1412759676,5,1298246400
119,A22L53OZ7IDQX3,1412759676,5,1310774400
120,AAOU507M8SF9E,1412759676,5,1320019200
121,A2DIOCFQZQFD9O,1451646526,4,1331510400
122,A17Z7DO3IFHZOE,1457982633,5,1399593600
123,A120LZ9VNR3YI0,1572671203,3,1294617600
124,A39QH03VD9U048,1572671203,3,1373155200
125,A95YCV8FK2LCM,1572671203,4,1295395200
126,AP57TEKK91CIM,1572671203,5,1375833600
127,A3OQ3FVYBU7SBD,1879187396,5,1382400000
128,A2GDJP70RVLDKY,1906987238,5,1373068800
129,A2BQ8DVGEGWAFY,1929099886,4,1355011200
130,A2A0EW34FZH9Z7,1987958179,5,1394755200
131,A1D6UAVLQUS41B,3222000565,5,1381449600
132,A2VRUBSVHDDOU9,3222000565,5,1382486400
133,A276N142RFK6EF,3222000565,5,1404345600
134,A2HNQ3JHXDSVMW,322700075X,3,1361491200
135,ADURH4ZDRMZV6,3227001055,4,1369440000
136,AXVLSEEYTC4Z9,3227001055,1,1372809600
137,AGGXC77INUISD,3227001055,5,1405296000
138,A10REFE1TW3ZVT,3227001381,5,1350691200
139,A3M7ROZKQW6F69,3227001381,4,1351814400
140,A271KYL82709TY,3227001381,5,1382400000
141,A1OON4OPP58E26,3227001381,5,1372204800
142,A3COLQK8Y9V9A5,3227001381,5,1345680000
143,A28H0PAQPYKN94,3227001381,5,1371859200
144,AYI1LDJYGG0ZK,3227001381,4,1357257600
145,A3T5EYVSBN3QQX,3227001381,2,1363219200
146,A3E4N6O6WC8LEX,3227001381,5,1323216000
147,A30IURTQM5NNA4,3227001381,5,1376524800
148,A100GYE1W4OXZ8,3227001381,5,1372032000
149,A1ZWS1H6H06Y2J,3227001381,5,1342915200
150,A3BMQUL5QATQIW,3227001381,5,1368057600
151,AI5JNFT6YBQQY,3227001381,5,1362873600
152,A2H79ANDK766S1,3227001381,4,1404432000
153,A3LO1A9N0F0TXE,3227001381,5,1345507200
154,A2JYNUBR7H2W41,3227001381,5,1339027200
155,A2O9UKJ2FR0GZ4,3227001381,5,1389225600
156,A1O5Z4ZKPMHORQ,3227001381,5,1326499200
157,A366PG2T9L9VSW,3227001381,2,1373068800
158,A11AT6B3912DCU,3227001381,5,1356652800
159,A2RCLQ2PS3PN8H,3227001381,5,1384300800
160,A445U3NN5XBYK,3227001381,3,1374451200
161,A3GAMJUEB4A4J9,3227001381,5,1381363200
162,A7BCFTL2PU1NZ,3227001381,5,1359676800
163,A87X19PQJFYFA,3292000971,5,1371859200
164,A2F5SHIP4HF9,3292000971,5,1371254400
165,A305WEYT5UZKCZ,3292000971,5,1365724800
166,A2E8U0H25VGG3O,3423470476,1,1322438400
167,A2S1HDSZ0OGW1M,360211600X,5,1332028800
168,AFRE5F3MKUKME,360211600X,1,1392595200
169,A11Q1HQ84F8POH,4057362797,1,1327017600
170,A2CCV112TWLK7A,4057362843,5,1357084800
171,A2099WPFJKJKZC,4057362886,4,1377043200
172,A1T8YQ4FFMWQPC,4057362894,5,1387065600
173,AZLE2XFH3JUNG,4057362894,5,1367193600
174,A99JEK1Z8S1T0,4057362967,5,1404864000
175,A2OCBW6UQ8GS7L,4057363823,5,1252281600
176,AI6IXAB24N30W,4057363823,1,1264118400
177,AZLE2XFH3JUNG,4057368825,5,1367193600
178,A2GPHFP5QKF0CO,4057368825,2,1374192000
179,A2ZZ26N7K9BSFB,4057368825,5,1376956800
180,A1MID7V80H36FX,4057553908,2,1365724800
181,A10ZKDOZOSH219,4057553908,5,1347235200
182,A1CNSLLYW5A8YB,5297000963,5,1397433600
183,ARUSOE3CJ7TNF,5297000963,1,1395619200
184,A2Z9QP4MZ2HXCZ,5357954771,3,1376352000
185,ACZ94JB8BFMJ9,5357954771,5,1385251200
186,A36ZKFLSDE8WX5,5357954771,5,1270252800
187,AVCSVH9L0BPIF,5357954771,5,1341532800
188,A2VF4TALLW8G9,535795531X,5,1396915200
189,A3UFMKLD77O21S,535795531X,5,1302652800
190,A1QPQIJVS0JC5Y,535795531X,5,1235606400
191,A2UQZD76FKVQ6D,535795531X,5,1335225600
192,A1LNS0V7YBBJJE,535795531X,5,1359158400
193,A3B0M39TDARC6X,535795531X,5,1397347200
194,A1ZNOA9OHWIVMH,535795531X,5,1347321600
195,A15ELVI3I6G1SQ,535795531X,5,1329782400
196,A35ELDPD0N7T0U,535795531X,5,1354924800
197,A1B07LXV78TWZ,535795531X,5,1311724800
198,A29LZJWIY7KJZR,535795531X,5,1341532800
199,A13IIHXY0QX4Y4,535795531X,3,1356566400
200,A1AM400PUH70WO,535795545X,5,1371513600
201,A18X2IP46I5JB8,535795545X,5,1370476800
202,A2DT0SAXS5DIL8,535795545X,5,1294444800
203,A29AQSCFQ1OZ9R,535795545X,5,1360022400
204,A225BCNNIG03JT,535795545X,3,1316995200
205,A3590W7FEAGQY4,535795545X,5,1396051200
206,A1U6E8IJEATCYM,535795545X,5,1356998400
207,A1X1X91COEBHVI,5357955743,5,1395014400
208,A2RNK4TW1FPXEF,5357955751,5,1404259200
209,AYHZNXRPOHMO2,5357955786,5,1385078400
210,A3NIHH9X6L3RRM,5357955786,5,1396915200
211,A1UDWB8WFFGN55,5357955786,5,1361923200
212,A20LFHVP5CMQ1,5357955786,5,1394409600
213,A16495HOSCEV0N,5357955832,5,1403913600
214,A22ET3HEUN5JNP,5357955867,2,1342656000
215,A1NNJ0MNFIF3Z8,5357955867,5,1147046400
216,A2C55XULIQ3F8I,5357955867,4,1141948800
217,AOJRTF5PJMIR6,5357955867,5,1354147200
218,ACUB5EB5F72B9,5357955867,5,1360454400
219,A1XD9BN1CBR8U4,5357955905,5,1195948800
220,A2K18LH5HC6K9B,5357955905,5,1295654400
221,A38JQUXZTKKHQP,5357955905,4,1313884800
222,A1QMSSMUBUXX5S,5357955905,5,1368057600
223,A3VUS3HC1CCVOQ,5357955948,4,1358726400
224,A19VNE2EF1QYNE,5357955948,1,1361923200
225,A1L8MP88Q3DXXJ,5357955948,2,1363737600
226,AEPAHTOT8YT04,5357955948,5,1326067200
227,AM0RSD59GI2IK,5357955948,5,1325116800
228,A2XYBHUJ7E1QDR,5357955948,5,1376956800
229,A39GFZUNMWJ44J,5357955948,5,1303257600
230,AEWKMTITVR260,5357955948,5,1268697600
231,A1C4OJZCDI8LN3,5357955948,5,1373328000
232,ACZBT8YQ2TYOY,5357955948,5,1271721600
233,A24662VRPFY4YK,5357955948,4,1361404800
234,A3S87ZOPB3UM9N,5357955972,5,1289865600
235,A18CAHNYYC8AA3,5357956014,5,1397260800
236,AGXDI4U7PAUGZ,5357956111,5,1346803200
237,ADZZCC6UUMA0N,5357956111,5,1351296000
238,A1F4CQTUN5WTEA,5357956111,3,1343260800
239,AQFATFCB1HBG3,5357956111,5,1400716800
240,ASPRENFTOYHO0,5357956111,5,1371081600
241,A2DOQ89OLXNHNL,5357956111,5,1398038400
242,A1IFYKTMBOTBP7,5357956227,5,1357257600
243,A364UC5PLUM8M3,5357956227,5,1370217600
244,AC4343QXC1BCQ,6022600685,5,1359331200
245,A7SVI5Q1WC3UP,6022600685,5,1399939200
246,A28UWG41MHTXGC,6022600685,3,1369267200
247,A2EH8T3LQS6EET,6022600685,5,1377129600
248,A1HBQHOWMXOLBM,6022600685,3,1375315200
249,A1MOOCFYF4BW9F,6022600685,5,1356480000
250,A31J5P90FNANXZ,602260074X,4,1397606400
251,A34LP4FWKYTHB5,602260074X,4,1356480000
252,A328DC9RTOA5WS,602260074X,4,1403913600
253,A8R89360S6RZ3,602260074X,1,1399852800
254,A1B9XPHEGQ986Y,602260074X,5,1402012800
255,ABKY0V59DOJ5Y,602260074X,5,1392422400
256,A3DHGDJ779MMSD,602260074X,5,1377216000
257,AH9GYBKL6KJOF,602260074X,4,1402358400
258,A2Z1MC0VM2SCZ7,602260074X,5,1387065600
259,AWL41OE56O3O3,602260074X,4,1373414400
260,A3AOPVHGVIEHFK,602260074X,5,1390435200
261,A1G8D0R2YLCJPR,602260074X,5,1396310400
262,A1E5TTW0XXZIE7,602260074X,4,1363478400
263,AV434O5MUBGN5,602260074X,5,1390521600
264,A1CT0SH9XKNIDY,602260074X,4,1361491200
265,A1FGEAEGWVYJ2I,6022600790,4,1389312000
266,A2WDW3VRWKRRWV,6022600790,4,1386028800
267,A86RECWKC0IKS,6022600790,5,1358035200
268,A2GMXV65XFTCR6,6022600790,2,1370044800
269,A2TSBFY4ZZIMXW,6022600790,1,1399766400
270,AGQ844D0UXGBF,6022600790,5,1377907200
271,A3E13GVY40E6T5,6022600790,4,1383004800
272,A1E09RWAID7HCH,6022600790,4,1372636800
273,A2ME4DLS0Q488W,6022600790,5,1374796800
274,A2HZV40RNSZ381,6022600804,2,1362182400
275,AS498SIPUF2PU,6022600812,5,1368489600
276,AL4XKV2S6IXQS,6022600812,5,1369440000
277,A138ATFNJU102C,6022600812,2,1383955200
278,A1B0Q1X54GILZP,6022600812,3,1395446400
279,A22HDI6Y0ERZLN,6022600812,1,1389916800
280,A3SK4E6TWXE367,6022600812,4,1395532800
281,A3CHPIP8HRFNC8,6022600812,5,1403222400
282,A1GIGGY4X47QMA,6040652705,3,1392508800
283,A3V6ZQWSMLRXEJ,6041134473,5,1405296000
284,A38L32Q21P5T95,6041134473,5,1390521600
285,A3BWP3PY4IUMTH,6041134473,5,1391472000
286,A1NRLEB0KOB65O,604113449X,5,1391644800
287,A3UQXZCB1CXFNL,604113449X,1,1403654400
288,A3T58OUIBEL24K,604113449X,4,1401580800
289,A3AAAZ446W2B3B,604113449X,5,1393459200
